technique,question_id,expected_source,top_1_source,recall_at_1,store_score,manual_cosine
token,Q1,NCT00471978.txt,NCT00471978.txt,1,0.636421,0.599561
token,Q2,NCT07749586.txt,NCT07749586.txt,1,0.78697,0.808809
token,Q3,NCT06937203.txt,NCT06937203.txt,1,0.594361,0.551765
token,Q4,NCT00471978.txt,NCT07465848.txt,0,0.665644,0.666341
token,Q5,NCT06160921.txt,NCT06160921.txt,1,0.736878,0.739773
semantic_95,Q1,NCT00471978.txt,NCT00471978.txt,1,0.640407,0.586228
semantic_95,Q2,NCT07749586.txt,NCT07749586.txt,1,0.691659,0.740519
semantic_95,Q3,NCT06937203.txt,NCT06937203.txt,1,0.580185,0.574956
semantic_95,Q4,NCT00471978.txt,NCT07465848.txt,0,0.700266,0.708671
semantic_95,Q5,NCT06160921.txt,NCT06160921.txt,1,0.672191,0.645509
sentence_window,Q1,NCT00471978.txt,NCT00471978.txt,1,0.753378,0.720197
sentence_window,Q2,NCT07749586.txt,NCT07749586.txt,1,0.806447,0.800927
sentence_window,Q3,NCT06937203.txt,NCT07296484.txt,0,0.599353,0.536061
sentence_window,Q4,NCT00471978.txt,NCT07465848.txt,0,0.720796,0.708041
sentence_window,Q5,NCT06160921.txt,NCT06160921.txt,1,0.66634,0.603529
semantic_tuned_80,Q1,NCT00471978.txt,NCT00471978.txt,1,0.640407,0.586228
semantic_tuned_80,Q2,NCT07749586.txt,NCT07749586.txt,1,0.691659,0.740519
semantic_tuned_80,Q3,NCT06937203.txt,NCT06937203.txt,1,0.580185,0.574956
semantic_tuned_80,Q4,NCT00471978.txt,NCT07465848.txt,0,0.700266,0.708671
semantic_tuned_80,Q5,NCT06160921.txt,NCT06160921.txt,1,0.672191,0.645509
