technique,group,question_id,expected_source,top_1_cosine,mean_at_k_cosine,recall_at_k,retrieval_latency_ms
token,main,Q1,NCT00471978.txt,0.639076,0.533401,1,5.213
token,main,Q2,NCT07749586.txt,0.808809,0.660311,1,5.108
token,main,Q3,NCT06937203.txt,0.600887,0.55854,1,5.473
token,main,Q4,NCT00471978.txt,0.688238,0.650957,1,5.225
token,main,Q5,NCT06160921.txt,0.739773,0.586181,1,5.136
semantic_95,main,Q1,NCT00471978.txt,0.586228,0.474282,1,2.408
semantic_95,main,Q2,NCT07749586.txt,0.740519,0.569848,1,2.352
semantic_95,main,Q3,NCT06937203.txt,0.574956,0.510237,1,2.211
semantic_95,main,Q4,NCT00471978.txt,0.708671,0.618898,1,2.221
semantic_95,main,Q5,NCT06160921.txt,0.645509,0.539913,1,2.266
sentence_window,main,Q1,NCT00471978.txt,0.720197,0.590039,1,24.041
sentence_window,main,Q2,NCT07749586.txt,0.800927,0.706505,1,24.29
sentence_window,main,Q3,NCT06937203.txt,0.574956,0.552801,1,24.339
sentence_window,main,Q4,NCT00471978.txt,0.72401,0.675762,1,24.101
sentence_window,main,Q5,NCT06160921.txt,0.603529,0.533362,1,23.545
semantic_tuned_80,ablation,Q1,NCT00471978.txt,0.586228,0.495156,1,5.974
semantic_tuned_80,ablation,Q2,NCT07749586.txt,0.740519,0.645153,1,5.748
semantic_tuned_80,ablation,Q3,NCT06937203.txt,0.574956,0.520055,1,5.77
semantic_tuned_80,ablation,Q4,NCT00471978.txt,0.708671,0.649833,1,5.706
semantic_tuned_80,ablation,Q5,NCT06160921.txt,0.645509,0.545273,1,5.748
