[temp=0.7] run 1/20  148259ms  ['Deep Brain Stimulation', 'Local Field Potentials', 'Movement Disorders']
[temp=0.7] run 2/20  89852ms  ['Deep Brain Stimulation', 'Local Field Potentials', 'Neurological Disorders']
[temp=0.7] run 3/20  143014ms  ['Deep Brain Stimulation', 'Local Field Potentials', 'Motor Response Analysis']
[temp=0.7] run 4/20  92960ms  ['Deep Brain Stimulation', 'Electrophysiological Monitoring', 'Movement Disorders']
[temp=0.7] run 5/20  186769ms  ['Deep Brain Stimulation', 'Local Field Potentials', 'Neurological Conditions']
[temp=0.7] run 6/20  81071ms  ['Deep Brain Stimulation', 'Neural Signal Analysis', 'Movement Disorders']
[temp=0.7] run 7/20  151246ms  ['Deep Brain Stimulation', 'Local Field Potentials', 'Motor Symptom Assessment']
[temp=0.7] run 8/20  103429ms  ['Deep Brain Stimulation', 'Neural Signal Analysis', 'Movement Disorders']
[temp=0.7] run 9/20  70527ms  ['Deep Brain Stimulation', 'Local Field Potentials', 'Motor Symptom Assessment']
[temp=0.7] run 10/20  117396ms  ['Deep Brain Stimulation', 'Motor Symptoms', 'Neurophysiological Monitoring']
[temp=0.7] run 11/20  87022ms  ['Deep Brain Stimulation', 'Local Field Potentials', 'Movement Disorders']
[temp=0.7] run 12/20  75384ms  ['Deep Brain Stimulation', 'Local Field Potentials', 'Movement Disorders']
[temp=0.7] run 13/20  79571ms  ['Deep Brain Stimulation', 'Neurophysiological Data', 'Movement Disorder Assessment']
[temp=0.7] run 14/20  87740ms  ['Deep Brain Stimulation', 'Local Field Potentials', 'Movement Disorders']
[temp=0.7] run 15/20  86740ms  ['Deep Brain Stimulation', 'Electrophysiological Recordings', 'Movement Disorders']
[temp=0.7] run 16/20  127881ms  ['Deep Brain Stimulation', 'Local Field Potentials', 'Neurological Disorders']
[temp=0.7] run 17/20  92106ms  ['Deep Brain Stimulation', 'Local Field Potentials', 'Motor Symptom Evaluation']
[temp=0.7] run 18/20  101863ms  ['Deep Brain Stimulation', 'Local Field Potentials', 'Neurological Movement Disorders']
[temp=0.7] run 19/20  68050ms  ['Deep Brain Stimulation', 'Local Field Potentials', 'Movement Disorders']
[temp=0.7] run 20/20  119897ms  ['Deep Brain Stimulation', 'Neurological Disorders', 'Electrophysiological Monitoring']
[temp=0.0] run 1/20  85291ms  ['Deep Brain Stimulation', 'Local Field Potentials', 'Neurological Disorders']
[temp=0.0] run 2/20  78568ms  ['Deep Brain Stimulation', 'Local Field Potentials', 'Neurological Disorders']
[temp=0.0] run 3/20  78420ms  ['Deep Brain Stimulation', 'Local Field Potentials', 'Neurological Disorders']
[temp=0.0] run 4/20  78376ms  ['Deep Brain Stimulation', 'Local Field Potentials', 'Neurological Disorders']
[temp=0.0] run 5/20  78113ms  ['Deep Brain Stimulation', 'Local Field Potentials', 'Neurological Disorders']
[temp=0.0] run 6/20  78366ms  ['Deep Brain Stimulation', 'Local Field Potentials', 'Neurological Disorders']
[temp=0.0] run 7/20  78231ms  ['Deep Brain Stimulation', 'Local Field Potentials', 'Neurological Disorders']
[temp=0.0] run 8/20  78390ms  ['Deep Brain Stimulation', 'Local Field Potentials', 'Neurological Disorders']
[temp=0.0] run 9/20  81154ms  ['Deep Brain Stimulation', 'Local Field Potentials', 'Neurological Disorders']
[temp=0.0] run 10/20  78630ms  ['Deep Brain Stimulation', 'Local Field Potentials', 'Neurological Disorders']
[temp=0.0] run 11/20  78338ms  ['Deep Brain Stimulation', 'Local Field Potentials', 'Neurological Disorders']
[temp=0.0] run 12/20  78349ms  ['Deep Brain Stimulation', 'Local Field Potentials', 'Neurological Disorders']
[temp=0.0] run 13/20  78661ms  ['Deep Brain Stimulation', 'Local Field Potentials', 'Neurological Disorders']
[temp=0.0] run 14/20  78396ms  ['Deep Brain Stimulation', 'Local Field Potentials', 'Neurological Disorders']
[temp=0.0] run 15/20  78319ms  ['Deep Brain Stimulation', 'Local Field Potentials', 'Neurological Disorders']
[temp=0.0] run 16/20  78327ms  ['Deep Brain Stimulation', 'Local Field Potentials', 'Neurological Disorders']
[temp=0.0] run 17/20  78352ms  ['Deep Brain Stimulation', 'Local Field Potentials', 'Neurological Disorders']
[temp=0.0] run 18/20  78312ms  ['Deep Brain Stimulation', 'Local Field Potentials', 'Neurological Disorders']
[temp=0.0] run 19/20  78359ms  ['Deep Brain Stimulation', 'Local Field Potentials', 'Neurological Disorders']
[temp=0.0] run 20/20  78328ms  ['Deep Brain Stimulation', 'Local Field Potentials', 'Neurological Disorders']
DONE 40 runs
